Date,Odometer,Mileage,Fuel (Gal),Cost,MPG,$PM,Notes
8/22/2015,72,72,2.666,$17.27,27.00,$0.09,Initial mileage
8/29/2015,224,152,5.500,$13.74,27.64,$0.09,BP Regular 87
9/5/2015,380,156,5.731,$12.89,27.22,$0.08,Meijer Regular 87
9/13/2015,526,146,5.474,$10.89,26.67,$0.07,Shell Regular 87
9/19/2015,713,187,6.687,$14.64,27.96,$0.08,Shell Regular 87
9/26/2015,904,191,7.017,$16.83,27.22,$0.09,BP Regular 87
10/3/2015,1040,136,5.154,$12.78,26.39,$0.09,Shell Regular 87
10/10/2015,1188,148,5.430,$13.57,27.26,$0.09,Shell Regular 87
10/17/2015,1325,137,5.293,$12.17,25.88,$0.09,Shell Regular 87
10/20/2015,1447,122,4.449,$8.89,27.42,$0.07,BP Regular 87
10/31/2015,1581,134,5.182,$11.19,25.86,$0.08,BP Regular 87
11/7/2015,1714,133,4.988,$10.77,26.66,$0.08,BP Regular 87
11/14/2015,1855,141,5.579,$11.15,25.27,$0.08,BP Regular 87
11/21/2015,1987,132,4.848,$8.43,27.23,$0.06,BP Regular 87
11/28/2015,2058,71,2.890,$5.49,24.57,$0.08,BP Regular 87
12/5/2015,2201,143,5.596,$10.63,25.55,$0.07,BP Regular 87
12/19/2015,2468,267,10.418,$18.22,25.63,$0.07,BP Regular 87
1/1/2016,2653,185,7.252,$13.48,25.51,$0.07,BP Regular 87
1/9/2015,2792,139,5.520,$9.93,25.18,$0.07,BP Regular 87
1/16/2016,2923,131,5.412,$8.65,24.21,$0.07,BP Regular 87
1/23/2016,3069,146,6.076,$8.86,24.03,$0.06,BP Regular 87
1/30/2016,3199,130,5.007,$8.01,25.96,$0.06,BP Regular 87
2/6/2016,3330,131,5.067,$7.39,25.85,$0.06,BP Regular 87
2/13/2016,3463,133,5.417,$8.28,24.55,$0.06,BP Regular 87
2/13/2016,3618,155,5.896,$9.43,26.29,$0.06,BP Regular 87
3/5/2016,3910,292,11.250,$20.24,25.96,$0.07,BP Regular 87
3/19/2016,4169,259,9.269,$17.60,27.94,$0.07,BP Regular 87
4/2/2016,4455,286,10.806,$20.95,26.47,$0.07,Phillips Regular 87
4/9/2016,4608,153,5.753,$11.50,26.59,$0.08,BP Regular 87
4/16/2016,4738,130,4.480,$9.22,29.02,$0.07,BP Regular 87
